Pendidikan Agama,Pendidikan Pancasila,Bahasa Inggris,Bahasa Mandarin,Matematika (Umum),Biologi,Fisika,Kimia,Geografi,Sejarah,Sosiologi,Ekonomi,"Pendidikan Jasmani, Olahraga, dan Kesehatan",Informatika,Seni Musik,Bahasa Indonesia,Rata-rata,Pendidikan Agama (Next Sem),Pendidikan Pancasila (Next Sem),Bahasa Inggris (Next Sem),Bahasa Mandarin (Next Sem),Matematika (Umum) (Next Sem),Biologi (Next Sem),Fisika (Next Sem),Kimia (Next Sem),Geografi (Next Sem),Sejarah (Next Sem),Sosiologi (Next Sem),Ekonomi (Next Sem),"Pendidikan Jasmani, Olahraga, dan Kesehatan (Next Sem)",Informatika (Next Sem),Seni Musik (Next Sem),Bahasa Indonesia (Next Sem),Rata-rata (Next Sem),Kategori Performa,Kategori Performa (Next Sem),Jumlah Ketidakhadiran,Persentase Tugas,performance_trend
60,60,54,61,66,56,68,65,59,62,70,66,63,61,63,60,62.1,63,60,49,58,64,56,62,67,59,58,70,66,64,61,57,61,60.94,Low,Low,9,35,Stable Performance
49,70,60,61,59,56,58,51,71,53,54,57,66,59,53,66,58.93,57,82,58,64,66,63,64,57,68,59,62,61,65,63,51,74,63.38,Low,Low,10,40,Stable Performance
67,66,67,75,74,60,71,65,66,55,62,59,67,69,53,63,64.96,70,72,62,84,78,69,77,72,76,61,69,60,74,71,60,65,70.0,Low,Mid,6,63,Significant Increase Performance
73,67,71,69,69,66,62,62,71,68,67,65,66,73,66,61,67.3,72,63,74,67,77,62,67,63,74,71,67,64,68,77,65,63,68.38,Low,Low,6,30,Stable Performance
63,58,59,67,59,60,53,58,62,51,60,59,59,64,61,66,59.86,61,57,61,67,62,61,54,56,62,52,60,63,60,67,59,64,60.38,Low,Low,10,36,Stable Performance
54,60,59,53,64,70,59,61,59,55,50,55,52,67,58,57,58.4,53,59,55,56,64,69,61,62,56,54,55,54,51,62,58,58,57.94,Low,Low,7,29,Stable Performance
72,62,64,68,73,70,69,68,70,69,63,68,63,68,65,81,68.4,69,57,64,70,73,76,66,70,73,71,61,69,64,65,61,83,68.25,Low,Low,7,32,Stable Performance
64,57,63,66,72,61,56,68,57,62,63,63,67,60,62,64,62.85,63,56,70,65,68,63,51,63,61,66,59,70,65,56,63,63,62.62,Low,Low,7,49,Stable Performance
58,58,60,62,60,60,50,58,60,61,54,54,55,60,63,56,58.05,58,57,59,61,60,62,56,65,66,59,61,55,62,63,71,63,61.12,Low,Low,7,33,Stable Performance
67,63,62,62,66,64,74,58,65,60,58,63,63,77,62,57,63.98,66,63,61,65,66,63,72,57,66,56,60,68,61,74,61,58,63.56,Low,Low,11,39,Stable Performance
